1961,38
1963,68
1965,54
1966,68
1967,67
1968,50
1969,72
1970,61
1971,76
1972,76
1973,68
1974,73
1975,69
1976,69
1977,68
1978,70
1979,69
1990,68
1994,54
1999,60
2002,75
2005,61
2007,61
2009,53
2010,64
2011,62
2013,84
2015,66
2016,57
2017,66
2018,60
2019,71
